Title,Corp,Condition,Location,Tag,Link
Java개발자 경력직 모집,(주)아이디에스앤트러스트,경력 5~10년학력무관정규직,서울전체,"백엔드/서버개발, 웹개발, 퍼블리셔, 프론트엔드, DBA 외 수정일 22/11/16",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=43043610
[더스크랙] 성장하는 기업에서 온라인 AMD를 기다립니다.,(주)더스크랙,경력무관학력무관정규직,서울강서구,"온라인MD, 유통MD, 쇼핑몰, 오픈마켓, AMD 외 수정일 22/11/21",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44245801
메이크잇(Letsmakeit) 금융핀테크 기업 블록체인 전문가(NFT 투자 플랫폼 개발),(주)메이크잇,경력 2~7년초대졸↑정규직,서울전체,"백엔드/서버개발, 웹개발, Java, 스마트컨트랙트, 블록체인 외 수정일 22/10/07",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=43884891
[오가노이드사이언스] 브랜드 디자인 및 콘텐츠 제작자 채용,오가노이드사이언스(주),경력4년↑대졸↑정규직,경기성남시 분당구,"브랜딩, 로고디자인, 브랜드디자인, 산업디자인, 시각디자인 외 수정일 22/11/02",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44348212
헬스케어포털서비스 Front-end 개발자 경력직 모집,(주)아이디에스앤트러스트,경력 3~10년학력무관정규직,서울전체,"웹개발, 퍼블리셔, 프론트엔드, 반응형웹, 웹표준·웹접근성 외 수정일 22/11/17",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44352032
[대웅그룹/IDS&TRUST] CSV컨설팅 경력직 모집,(주)아이디에스앤트러스트,경력5년↑학력무관정규직,서울강남구,"SCM, 품질관리, ERP, SI·시스템통합, ERP 외 등록일 22/11/02",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44347930
2022년 TDI그룹 각 부문 신입 및 경력 공개 채용,(주)티디아이,신입·경력학력무관정규직,서울서초구,"백엔드/서버개발, 앱개발, 프론트엔드, Android, Azure 외 수정일 22/10/28",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44281470
바르도 패션디자이너 프랑스 본사 근무자 채용,(주)바르도코리아,경력무관대졸↑정규직,서울강남구,"섬유디자인, 의상디자인, 패브릭디자인, 속옷, 스포츠의류 외 등록일 22/11/14",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44423266
데이터 엔지니어 (Data Engineer),(주)아인시스에이아이랩,신입·경력대졸↑정규직,서울전체,"웹개발, 프론트엔드, DBA, SE(시스템엔지니어), 검색엔진 외 수정일 22/11/09",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44102152
"[AI 플랫폼기업] 백엔드 엔지니어 [시니어급,정규직]",(주)리앤파트너,경력1년↑초대졸↑정규직,서울서초구,"백엔드/서버개발, C++, C언어, Docker, Kafka 외 수정일 22/11/14",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44394212
2022년 하반기 부문별 신입 및 경력직 채용,(주)웨트러스트,신입·경력고졸↑정규직,경기성남시 분당구,"의료기기영업, 해외시장개척, 해외영업, 화장품영업, 생산관리 외 등록일 22/11/07",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44381796
헬스케어 포털서비스 Back-end 개발자 경력직 채용,(주)아이디에스앤트러스트,경력 5~10년학력무관정규직,서울전체,"백엔드/서버개발, 웹개발, 프론트엔드, SE(시스템엔지니어), 인프라 외 등록일 22/11/17",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44456470
"온라인마케터,국내외 온라인MD, CS,패키지디자인 신입/경력 채용",(주)웨트러스트,경력무관초대졸↑정규직,경기성남시 분당구,"온라인MD, 매출관리, 브랜드관리, 자사몰관리, 프로모션기획 외 수정일 22/11/07",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44094800
[500만의 선택 데이트팝] 캐릭터툰 작가 모집(정규직),(주)텐핑거스,경력무관학력무관정규직,서울서초구,"애니메이터, 일러스트레이터, 캐릭터디자인, 2D디자인, 삽화 외 등록일 22/11/21",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44476071
Platform Engineer,(주)퓨리오사에이아이,경력3년↑대졸↑,서울강남구,"AWS, Azure, C++, GCP, GoLang 외 수정일 22/11/02",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44341815
[미디어텍코리아(주)] 부문별 경력/신입 채용,미디어텍코리아(주),경력무관대졸↑정규직·계약직,경기성남시 분당구,"Android, IT영업, 반도체설계, 반도체, C++ 외 수정일 22/10/14",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44080024
[AI 플랫폼기업] VPE (Vice President of Engineering),(주)리앤파트너,경력10년↑대졸↑정규직,서울서초구,"CTO, CTO, VP, VPE, 소프트웨어개발 수정일 22/11/15",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44394186
[Defi] Contract Developer,(주)수호아이오,경력 1~8년대졸↑정규직,서울전체,"웹개발, 프론트엔드, DBA, SE(시스템엔지니어), 딥러닝 외 수정일 22/11/08",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44255724
Data Engineer(3년 이상),(주)이제이엔,경력 3~8년학력무관정규직,서울전체,"웹개발, 프론트엔드, SE(시스템엔지니어), 데이터마이닝, 데이터시각화 외 수정일 22/11/10",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=42806071
Salesforce CRM 경력직 채용,(주)아이디에스앤트러스트,경력 3~10년학력무관정규직,서울전체,"웹개발, S/W, Java, Spring, SpringBoot 외 수정일 22/11/17",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44202089
"온라인마케팅,온라인MD,,CS,패키지디자인,퍼블리셔,생산관리모집",(주)웨트러스트,경력무관고졸↑정규직,경기성남시 분당구,"웹마스터, 퍼블리셔, CSS, 설비점검, 온라인MD 외 수정일 22/11/12",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44182880
"[경력] JAVA, JSP WEB 개발자 정규직(SI,SM)",(주)플랜아이,"경력학력무관정규직4,500 만원",대전유성구,"웹개발, 프론트엔드, SI개발, Java, JSP 외 수정일 22/11/15",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44229868
[WATA Inc] 비젼 알고리즘 개발 연구원,(주)와따,경력 5~20년대졸↑정규직,경기전체,"데이터분석가, 딥러닝, 머신러닝, 블록체인, 빅데이터 외 수정일 22/09/23",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=41144580
"TDI 뉴스 공개채용 (백엔드, 프론트엔드, 앱/웹기획)",(주)티디아이시티,경력1년↑학력무관정규직,서울서초구,"백엔드/서버개발, 프론트엔드, Java, MySQL, PHP 외 수정일 22/10/24",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44085077
[Defi] Backend Developer,(주)수호아이오,경력 3~8년대졸↑정규직,서울전체,"백엔드/서버개발, 웹개발, 프론트엔드, DBA, SE(시스템엔지니어) 외 수정일 22/11/08",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44255777
[오디오플랫폼FLO] Backend(Senior) 개발자,(주)드림어스컴퍼니,경력 5~15년학력무관정규직,서울전체,"백엔드/서버개발, 웹개발, SE(시스템엔지니어), 블록체인, GoLang 외 수정일 22/09/22",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=40715211
[대웅그룹/IDS&TRUST] e커머스 Back-end개발자 모집,(주)아이디에스앤트러스트,경력5년↑학력무관정규직,서울강남구,"백엔드/서버개발, 웹개발, 퍼블리셔, 유지보수, 솔루션 외 수정일 22/11/02",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44347479
Fintech Risk Management Team - Associate Manager,라인파이낸셜플러스(주),경력3년↑학력무관정규직,경기성남시 분당구,"백엔드/서버개발, 핀테크, C++, C언어, rust 외 등록일 22/11/16",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44448374
[메타버스] 게임 웹서버 담당자 채용,주식회사 유니플로우,경력2년↑학력무관정규직,서울강남구,"게임개발, 백엔드/서버개발, 웹개발, 네트워크, 블록체인 외 수정일 22/11/08",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44131050
제약공장시스템(WEB) 운영/개발 경력직 모집(*향남공장),(주)아이디에스앤트러스트,경력 5~10년학력무관정규직,경기전체,"백엔드/서버개발, 웹개발, 퍼블리셔, 프론트엔드, DBA 외 수정일 22/11/17",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44456440
[TIA] 백엔드&프론트엔드&퍼블리셔 정규직 채용,(주)티아코리아,경력1년↑학력무관정규직,서울서초구,"백엔드/서버개발, 퍼블리셔, 프론트엔드, API, AWS 외 수정일 22/11/09",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44337278
메이크잇(Letsmakeit) 금융핀테크 기업 빅데이터 전문가 채용,(주)메이크잇,경력 2~15년초대졸↑정규직·계약직,서울영등포구,"빅데이터, 데이터분석, 블록체인, 알고리즘, 메타버스 외 등록일 22/10/07",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44158879
블록체인 엔지니어,(주)스카우트플랜,경력무관대졸↑정규직,서울강남구,"블록체인, Solidity, 네트워크, 솔루션업체, 소프트웨어개발 수정일 22/11/16",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44440631
[대웅그룹/IDS&TRUST] e커머스 Front-end개발자 모집,(주)아이디에스앤트러스트,경력5년↑학력무관정규직,서울강남구,"웹개발, 퍼블리셔, 프론트엔드, 유지보수, 솔루션 외 등록일 22/11/02",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44347532
[오디오플랫폼FLO] Backend(Senior) 개발자,(주)드림어스컴퍼니,경력 5~15년학력무관정규직,서울전체,"백엔드/서버개발, 웹개발, SE(시스템엔지니어), 블록체인, GoLang 외 수정일 22/09/22",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=43242352
Electron Engineer(Desktop App),(주)오피지지,경력 3~10년학력무관정규직,서울전체,"웹개발, 프론트엔드, S/W, C++, C언어 외 수정일 22/11/14",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=43710025
핀테크 기업 [캐시멜로] 백엔드(Backend) 개발자 채용,(주)캐시멜로,경력3년↑초대졸↑정규직,서울강남구,"C++, Java, Node.js, API, MyBatis 외 수정일 22/11/07",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44319922
WATA Inc 비젼 알고리즘 개발자,(주)와따,경력 3~20년대졸↑정규직,경기전체,"데이터분석가, 딥러닝, 머신러닝, 블록체인, 빅데이터 외 수정일 22/11/16",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=42977781
데브옵스 엔지니어(DevOps Engineer)(3년 이상),(주)와탭랩스,경력 3~10년학력무관정규직,서울전체,"백엔드/서버개발, 웹개발, 프론트엔드, SE(시스템엔지니어), 블록체인 외 수정일 22/11/03",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=43344619
[편집] 출판용 책자 교정교열 및 리라이팅,원더러스트,경력대졸↑계약직·위촉직,충북청주시 상당구,"사무직, 문서작성, 사무보조, 자료입력, 타이핑 외 수정일 22/11/13",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44407568
"2022년 하반기 용접원, 생산 경력무관 채용",(주)인트러스트에너지솔루션,경력무관학력무관정규직,경남거제시,"용접원, 생산, 전계장, 보조, 포설 외 수정일 22/10/19",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44148465
[대웅그룹/IDS&TRUST] 헬스케어포털서비스 Front-end개발자 모집,(주)아이디에스앤트러스트,경력3년↑학력무관정규직,서울강남구,"프론트엔드, API, HTML5, Javascript, React 외 등록일 22/11/02",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44347820
회계/인사 분야 인재 모집,(주)코러스트,경력3년↑초대졸↑정규직,경기안양시 동안구,"경리, 더존, 기업회계, 출납, 총무 외 등록일 22/11/03",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44349842
단순생산직 사원 채용(경력무관),(주)러스트케미칼,경력무관학력무관정규직,인천남동구,"단순생산직, 생산, 포장, 화학 등록일 22/11/21",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44470045
2022년 하반기 대우조선해양 협력업체 플랜트 작업 공정,(주)인트러스트에너지솔루션,경력2년↑학력무관정규직340 만원,경남거제시,"생산관리, 전계장, 공정관리, 전계장, 조선 수정일 22/10/31",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44305234
Java/ Kotlin 개발자,포스트보이저 주식회사(영업소),경력 3~10년학력무관정규직,서울전체,"백엔드/서버개발, 웹개발, 프론트엔드, SE(시스템엔지니어), 인프라 외 수정일 22/11/18",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44465766
[대웅그룹/IDS&TRUST] 헬스케어포털서비스 Back-end개발자 모집,(주)아이디에스앤트러스트,경력5년↑학력무관정규직,서울강남구,"백엔드/서버개발, 웹개발, 퍼블리셔, 유지보수, 솔루션 외 등록일 22/11/02",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44347769
[이노그리드] R&D 개발센터 경력 채용 DevOps팀,(주)이노그리드,경력무관학력무관정규직,서울중구,"빅데이터, 임베디드, 클라우드, DevOps, C++ 외 수정일 22/09/29",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44101486
핀테크기업 [(주)캐시멜로] 백엔드 개발자 채용(경력 3년이상),(주)캐시멜로,경력 3~10년학력무관정규직,서울전체,"백엔드/서버개발, 웹개발, DBA, SE(시스템엔지니어), MyBatis 외 수정일 22/11/07",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44048775
서버 개발자(GoLang),포스트보이저 주식회사(영업소),경력 5~10년석사↑정규직,서울전체,"백엔드/서버개발, 웹개발, 프론트엔드, SE(시스템엔지니어), 블록체인 외 수정일 22/11/18",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44465791
해외 영업(영어권/중화권/일어권)을 담당할 인재를 모집,(주)코러스트,"경력무관대졸↑정규직·인턴직5,000 만원",경기안양시 동안구,"해외영업, 무역영어, 바이어발굴/관리, 글로벌마케팅, 제조업 회사본사 등록일 22/11/07",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44375331
[경력&신입] 반려동물용 의료기기 R&D 정규직 채용,(주)비트러스트메디텍,"신입·경력대졸↑정규직3,000 (면접 후 협의)",서울송파구,"R&D, 연구원, 연구소 등록일 22/09/26",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44067877
여성의류 브랜드 경영지원 경리업무 및 사무보조,원더러스트,경력무관학력무관정규직,서울중구,"사무보조, 쇼핑몰관리, CS관리, 경영지원, 섬유 외 수정일 22/11/16",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44295800
[디자이너 브랜드 엘런아크] 온라인 MD 채용합니다 (경력무관),원더러스트,"경력무관초대졸↑정규직3,000 만원",서울중구,"브랜드MD, 영업MD, 온라인MD, 매출관리, 패션MD 외 수정일 22/11/18",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44407130
소프트웨어 엔지니어 (Software Engineer),(주)아인시스에이아이랩,신입·경력대졸↑정규직,서울전체,"백엔드/서버개발, 웹개발, 퍼블리셔, 프론트엔드, DBA 외 수정일 22/11/09",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44102048
AIoT ( AI IoT) 시스템 개발,㈜테크노니아,신입·경력초대졸↑정규직,서울구로구,"클라우드, IoT, AI(인공지능), AWS, Javascript 외 수정일 22/11/15",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44413859
(주)코인플러그 Defi팀 직원 모집,(주)코인플러그,경력무관학력무관정규직,경기성남시 수정구,"블록체인, 사업기획, 서비스기획, 솔루션, 알고리즘 외 등록일 22/11/01",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44339360
"의료기기 조립, 검사, 생산기술 업무를 담당할 역량있는 인재",(주)코러스트,신입·경력고졸↑정규직,경기안양시 동안구,"단순생산직, 전자제어, 조립, H/W, 생산 외 수정일 22/10/31",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44326599
백엔드 개발자 (경력),(주)젠스타메이트,경력 5~12년대졸↑정규직,서울전체,"백엔드/서버개발, 웹개발, 프론트엔드, DBA, RDBMS 외 수정일 22/11/08",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=43640215
국내 영업(B2B/B2C) 분야 인재 모집,(주)코러스트,"신입·경력초대졸↑정규직4,500 만원",경기안양시 동안구,"영업관리, 영업직, 판매직, 영업전략, 의료기기영업 외 등록일 22/11/03",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44349822
iOS 어플리케이션 개발/운영 경력직 모집,(주)아이디에스앤트러스트,경력 3~10년학력무관정규직,서울전체,"앱개발, Android, Flutter, iOS, Objective-C 외 등록일 22/11/17",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44456458
Solidity 개발자,포스트보이저 주식회사(영업소),경력 3~10년학력무관정규직,서울전체,"백엔드/서버개발, 웹개발, 프론트엔드, SE(시스템엔지니어), 인프라 외 수정일 22/11/18",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44465792
[빗썸메타] 메타개발실 Block Chain 개발 경력자 모집합니다.,주식회사 빗썸메타,경력무관초대졸↑정규직,서울강남구,"기술지원, 데이터분석가, 데이터엔지니어, 블록체인, SOA 외 등록일 22/10/05",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44132770
"2022년 하반기 제품기획/제형개발/총무/재무회계 신입,경력 채용",(주)웨트러스트,경력무관초대졸↑정규직,경기성남시 분당구,"더존, 계산서발행, 법인결산, 법인세신고, 부가세신고 외 등록일 22/11/16",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44449379
[더스크랙] 성장하는 기업에서 CS 매니저를 찾습니다,(주)더스크랙,경력무관학력무관정규직,서울강서구,"고객응대, CS관리, 상담원, CS, CX매니저 외 수정일 22/11/21",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44245806
Web개발/운영 경력직 모집,(주)아이디에스앤트러스트,경력 3~10년학력무관정규직,서울전체,"백엔드/서버개발, 웹개발, 퍼블리셔, 프론트엔드, DBA 외 수정일 22/11/17",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=43618416
[StayKing] Contract Developer,(주)수호아이오,경력 1~8년대졸↑정규직,서울전체,"웹개발, 프론트엔드, DBA, SE(시스템엔지니어), 딥러닝 외 수정일 22/11/08",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44255834
Solana 컨트랙트 개발자,(주)메인메타,경력 1~20년학력무관정규직,서울전체,"백엔드/서버개발, 웹개발, 블록체인, 소프트웨어개발 수정일 22/03/07",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=41416938
"의료기기 개발 기획, 국책 과제 관리 및 인증 전문가",(주)코러스트,"신입·경력대졸↑정규직6,000 만원",경기안양시 동안구,"임상시험, 연구원, R&D, R&D기획, 기술연구 외 등록일 22/10/31",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44326687
